"State","Count","Name","Id","Chief Functionary","Chairman","Promoter Name 1","Promoter Name 2","Promoter Name 3","Promoter Name 4","Secretary","Treasurer","Umbrella-Parent Organisation","Registered","Type","Registration No","Date of Registration","City of Registration","Registration Certificate URL","FCRA Registration No","Key Issues","Operational Area-States","Operational Area-District","Major Activities-Achievements","City","Mobile Number","Email","Fax Number","Address","Phone number","Sectors Working In",,,,,"Website URL"
"Andhra Pradesh",2223,"BAR BPM CHARITABLE TRUST","AP/2010/0037088","B Guruva Reddy","B Guruva Reddy","B Srinivasa Reddy","Promoter Name 2",,,"B Padma","B Ramana reddy",,"Sub-Registrar","Trust","3 of BK4 /2006",20/01/2006,"Cumbum","http://ngo.india.gov.in/ngo/d7c337ceacbf28f755733c92841d89db.11.jpg","a","Youth Affairs","Andhra Pradesh","West Godavari","All Charity Acivities","BESTAVARETA",,"barbpmctrust@gmail.com",,"BAR BPM CHARITABLE TRUST POOSALAPADU POST, BESTAVARIPETA MANDAL PRAKASAM DT PIN - 523 334","08406-237688","Youth Affairs",,,,,
"Andhra Pradesh",2223,"BASAVATARAKA MAHILA MANDALI","AP/2010/0035935","R Sridevi","R Sridevi",,,,,"T Sabburma","V Adilakshmi","Basavataraka Mahila Mandali","Registrar of Societies","Society","165/1988",05/11/1988 00:00,"Chittoor","http://ngo.india.gov.in/ngo/11efb3834ea1abab4450a4c7bf3db35c.Picture[1].s"" 001.jpg",,"Children, Vocational Training, Women's Development & Empowerment","Andhra Pradesh","Chittoor","Formation of women Self-Help Groups, Loan lending, Income generation, Skill trainings, Awareness and motivational camps on environment, health.","TIRUPATI",9866485696,"basavataraka@gmail.com",,"20-2-507/D, Maruthi Nagar, Korlagunta","0877-3204207","Children, Vocational Training, Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"BAZM E URDU EDUCATIONAL AND WELFARE SOCEETY KURNOOL","AP/2011/0040179","FAROOQ BASHA","QAISI QAMARA NAGARI","S K KHADRI","Promoter Name 2",,,"QAISI QAMARA NAGARI","K G KHAJA HUSSAIN","Karwani Islami","Registrar of Societies","Society","498/2011",22/12/2011,"KURNOOL","http://ngo.india.gov.in/ngo/3c9e5db2d57c44822731c08c46a64d6b.photo.jpg",,"Agriculture, Art & Culture, Biotechnology, Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Rural Development & Poverty Alleviation, Scientific & Industrial Research, Science & Technology, Sports, Tourism, Vocational Training,","Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chandigarh, Chhattisgarh, Dadra and Nagar Haveli, Delhi, Goa, Gujarat, Himachal Pradesh",,"LITRARY ACTIVITES CULTURAL ACTIVITES ETC","KURNOOL",9030080236,"BAZMEURDUKURNOOL@GMAIL.COM",,"H.NO.4/27 KALLUR DARWAZA -KURNOOL-5018001","08518-225415","Agriculture, Art & Culture, Biotechnology, Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Rural Development & Poverty Alleviation, Scientific & Industrial Research, Science & Technology, Sports, Tourism, Vocational Training,",,,,,
"Andhra Pradesh",2223,"BERAACHAH LIVELY EDUCATIONAL AND SOCIAL SOCIETY","AP/2010/0035972","Y Kezia","B Dhananjaya Reddy",,,,,"Y Kezia","P Usha Kumari","Karwani Islami","Registrar of Societies","Society",485,31/12/1999,"Tirupati","http://ngo.india.gov.in/ngo/1339a6e2b7bd002001fbe2e0ef49c5cd.BLESS-RC.jpg",10140364,"Aged/Elderly, Agriculture, Art & Culture, Children, Differently Abled, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Labour & Employment, Micro Finance (SHGs), Minority Issues, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Vocational Training, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh",,"Education,health,environment,disabled programes,vocational trainings,counselling,youth developemnt,women empowerment,legal literacy, rehabilitation services.","Tirupati",9441323855,"beraachahlvl@gmail.com",,"5-69/36 Sri Krishna Nagra M R Palli Tirupati Pin 517502","0877-2240093","Aged/Elderly, Agriculture, Art & Culture, Children, Differently Abled, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Labour & Employment, Micro Finance (SHGs), Minority Issues, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Vocational Training, Women's Development & Empowerment, Youth Affairs",,,,,
"Andhra Pradesh",2223,"BEST VILLAGE DEVELOPEMNT SANGHAM","AP/2009/0015933","M MADHUSUDHANA REDDY","M MADHUSUDHANAREDDY","M C PAVANA KUMARI","Promoter Name 2","S DEVARAJU","G MUNIRATHNAM SETTY","K LEELAVATHY","M ANITHA","Karwani Islami","Registrar of Societies","Society","654/2000",03/02/2000 00:00,"KADAPA","http://ngo.india.gov.in/ngo/BestNgo9@gmail.com.jpg",10160424,"Animal Husbandry, Dairying & Fisheries, Agriculture, Art & Culture, Children, Civic Issues, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Land Resources, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj","Andhra Pradesh","Chittoor","dIABLED WELFARE PROGRAM,HEALTH AND HYGEINE CAMPS,PROMOTION OF YOUTH ACTIVITIES PROGRAM,BLOCK LEVEL WORKSHOP,TRAININGS,AWARENESS CAMPS,CHILD LABOUR,NATIONAL DAYS YOUTH PROGRAMS,ADOLOSCENT HEALTH AND DEVELOPEMNT PROGRAM,OLD AGED WELFARE PROGRAM,CULTURAL PROGRAM.","IRALA",9963732493,"BestNgo9@gmail.com",,"P ERREPALLI VILLAGE POST IRALA MANDAL CHITTOOR DISTRICT PIN 517130","08573-286432","Animal Husbandry, Dairying & Fisheries, Agriculture, Art & Culture, Children, Civic Issues, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Land Resources, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj",,,,,
"Andhra Pradesh",2223,"BESTSOURCE SOLUTIONS","AP/2011/0043083","K MASTAN VALI","K MASTAN VALI",,,,,"S SREEKANTH","S JELAN BASHA","BESTSOURCE SOLUTIONS","Sub-Registrar","Society","AP232323",30/06/2011,"HYDERABAD","http://ngo.india.gov.in/ngo/db053e52dfd9ce31f3a6a2c58d0f93fe.BSS.JPG",,"Children, Drinking Water, Education & Literacy, Environment & Forests, Human Rights, Information & Communication Technology, Micro Finance (SHGs), Right to Information & Advocacy, Rural Development & Poverty Alleviation, Scientific & Industrial Research, Science & Technology, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment","Andhra Pradesh, Karnataka",,"DEVELOPING POOR,EDUCATION,SOCIAL WORKS,WOMAN EMPOVERNMENT,WATER RESOURCES,FOREST,LIVELIHOODS, RESEARCH AND ADVERSARY",,9441445758,"urmastan@gmail.com",,"BS SOLUTIONS KRISHNA NAGAR YUSAFGUDA HYDERABAD ANDHRA PRADESH 500082","040-94414457","Children, Drinking Water, Education & Literacy, Environment & Forests, Human Rights, Information & Communication Technology, Micro Finance (SHGs), Right to Information & Advocacy, Rural Development & Poverty Alleviation, Scientific & Industrial Research, Science & Technology, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment",,,,,"http://www.bestsourcesolutions.org"
"Andhra Pradesh",2223,"BETHEL EDUCATIONAL SOCIETY","AP/2009/0013430","Dr T Paramjyothi","Dr K Wilson",,,,,"Dr T Paramjyothi","A Ramulu","Karwani Islami","Registrar of Societies","Society","1764/82",21/08/1982,"Hyderabad","http://ngo.india.gov.in/ngo/Bethel_Society.jpg",10280017,"Aged/Elderly, Children, Education & Literacy","Andhra Pradesh","Mahabubnagar","Educational Society is running a Old Age Home for the past 15 years. Its is running a High School for the past 26 years, from Nursery to 10th class. It is running a hostel and School for SC & ST children for the past 14 years. it has conducted many training programs for employment generation like Lace Making, Basic Electronics Training for Physically Handicapped Youth, It has worked in the rural regions against the Devadasis system of practice, It worked for the emancipation for all those who are under social discrimination in the name of caste to tribe. It has worked for dry land forming practice in semiarid zones. It worked for organization of beneficiaries officially eligible government welfare programmes. It worked for entrepreneur development training activities for the promotion of rural technology connected with agriculture, Development of Artisans, Training programmes of the unemployed by promoting modified technique in rural technology, Campaigned for the prevention of diseases, Promotion of Hygiene, Eradication of Pollution, Healthy Environment and Campaigned for the importance of sustainable Energy resources. As an organization we are for eradication of poverty, Employment generation, Promotion of rural Industries, Economical Growth, Decentralization, Functional Social Justice, Gender Equality, Protection of Orphan Children, Welfare of the Senior Citizens, Eradication of Imbalances in Geographical zones. It worked for social responsibility, Political Awareness, Economic Promotion and Equality, Protection of Culture, Harmony between different cultural groups, Develop the attitude of scientific temper among people and Promotion of religious Harmony among all sections of the people.","Hyderabad",9885609505,"betheledusociety@hotmail.com",,"Bethel Educational Society, Gandhinagar Colony,Jadcherla Pincode-509301","08542-233100","Aged/Elderly, Children, Education & Literacy",,,,,
"Andhra Pradesh",2223,"BETHEL URBAN RURAL DEVELOPMENT SOCIETY","AP/2009/0005040","Krishnaiah Kadire","HemaPrathap",,,,,"Krishnaiah","Karuna G","Karwani Islami","Registrar of Societies","Society",4191,09/01/1994 00:00,"Hyderabad","http://ngo.india.gov.in/ngo/burds4191.JPG","NA","Art & Culture, Children, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Legal Awareness & Aid, Labour & Employment, Land Resources, Nutrition, Panchayati Raj, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh","Hyderabad, Mahabubnagar, Medak, Nalgonda, Nizamabad, Rangareddy, Warangal","The Organisation is working for the poor and marginalised people in Urban and Rural areas.The society hasbeen working in the field of Coaching for the poor students mainly concentrated on sc,st,bc and minorities since 2000. thousands of students got the engineering ,Medical and Lawcet etc., It is also working for the poor disabled children by providing the Education , shelter,clothes and food.The society is running a school for the poor students in RANGAREDDY DISTRICT.The society is providing the training fecilities for the poor people in computers,Printing and tailoring its related works etc., The society fecilitated the students who were c0ompleted the training in the institution to get the job oppertunities and self employment.100 students are benefitted under the program .Their families are now saved. The society has taken many awareness generation program on Caste,Gender basis discrimination and on clean and green,hiv/aids and pollution control,seasonal deceases and other social evils.the organisation reached 50,000 people.The society has taken the program to heip the widows to get the widow pensions.25,000 widows were benfitted under the scheme in Hayathnagar Mandal ,Rangareddy district.Creches are maintaing in Nalgonda district by the financial assistance of CSWB. Computer Training progrma is also running in Nakrekal ,Nalgonda District in Andhra Pradesh. And health welfare of weaker sections ,forestration Awareness, and Literacy ,Youth and Art (FOLK) development programs ,Cultural activities are being conducted by the society.","Hyderabad",9963698577,"burds2002@rediffmail.com",,"Bethel Urban Rural Development Society 3-10-425,G.J.Colony, L.B.Nagar,Hyderabad-74.","040-24201079","Art & Culture, Children, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Legal Awareness & Aid, Labour & Employment, Land Resources, Nutrition, Panchayati Raj, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs",,,,,
"Andhra Pradesh",2223,"BETHESDA EVANGELICAL MINISTRIES","AP/2009/0000284","JOHN HYDE BUNGA",,,,,,,,"Karwani Islami","Registrar of Societies","Society",1189,12/02/1995 00:00,,"http://ngo.india.gov.in/ngo/bethesda7em.JPG","ï¿½]5ï¿½M{","Women's Development & Empowerment, Youth Affairs",,,"To promote our Society services for aged, children ,disabled, poor students educational support Homes for orphan and health services to rural areas.","Kakinada",9963773664,"bethesda7em@gmail.com",,"D.No 4-302,Panchayat office street, Annavaram (po),Sankavaram (mdl) , East Godavari Dist. Andhra pradesh pin- 533406","0884-2312580","Women's Development & Empowerment, Youth Affairs",,,,,
"Andhra Pradesh",2223,"BETHESDA HOMES","AP/2010/0025408","B S PRASAD","B S PRASAD",,,,,"D ROSELIN","V NANDINI","Karwani Islami","Registrar of Societies","Society",29,02/08/1998 00:00,"VIJAYAWADA","http://ngo.india.gov.in/ngo/BETHESDAHOMES.jpg",10260230,"Aged/Elderly, Agriculture, Art & Culture, Children, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training","Andhra Pradesh",,"1. BEST NGO AWARD IN 2006 FROM DISTRICT COLLECTOR 2. BEST NGO AWARD IN 2007 FROM DISTRICT COLLECTOR 3. AWARD FOR NATIONAL CHILD LABOUR PROJECT. 4. APPRECIATION LETTER FROM DEPUTY DIRECTOR MEDICAL AND HEALTH","VIJAYAWADA",9989625499,"bh4needy@gmail.com","0866-2491445","D.NO.29-10-2, GROUND FLOOR, NARASIMHA RAO NAIDU STREET, SURYARAOPET, VIJAYAWADA - 520 002, KRISHNA DISTRICT, ANDHRA PRADESH","0866-2435888","Aged/Elderly, Agriculture, Art & Culture, Children, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training",,,,,"http://www.bethesdahomes.in"
"Andhra Pradesh",2223,"BETHESDA RURAL ECONOMICAL ASSOCIATION FOR DEVELOPMENT BREAD","AP/2009/0016179","S Solomon Raju","S Solomon Raju",,,,,"N Venu Gopal","N Leelavathi","Karwani Islami","Sub-Registrar","Society",910,21/12/1990,"Kakinada","http://ngo.india.gov.in/ngo/bread_ngo.jpg",10170103,"HIV/AIDS","Andhra Pradesh",,"Ourâ€™s is a voluntary organisation, based at Tuni in East Godavari District of Andhra Pradesh. We are mainly concentrated on women & girl children. Recently completed a programme on girl children, supported by Govt. of India, New Delhi for the previous period, we are working with 1200 sex workers on HIV/AIDS prevention program with the help of Andhra Pradesh State Aids control society (APSACS), Hyderabad, NACO, New Delhi. We determined to change their lives to pull out from the sex work and mingle them into National streamline to lead a respectable life and to save society. In view of that, conducted series of meetings with sex workers shared their feelings. Out of 1200 sex workers only 98 sex workers accepted to stop the trafficking and ready to take up entrepreneur-ship. Formed those 98 sex workers into 10 groups. We encourage them for thrift activity for their future. They followed it and doing thrift since 8 months. They elected their group heads among them to look after cash transactions and to speak on behalf of group. We took it as a challenge task and looking forward for a kind hearted funding agency interested in this aspect.","TUNI",9985655258,"bread_tuni@yahoo.in","08854-254830","BETHESDA RURAL ECONOMICAL ASSOCIATION FOR DEVELOPMENT (BREAD). Prakasam Road, Tuni â€“ 533 401, E.G.Dt., Andhra Pradesh, India.","08854-256973","HIV/AIDS",,,,,
"Andhra Pradesh",2223,"BETHESTHA INTEGRATED RURAL DEVELOPMENT SERVICE SOCIETY","AP/2009/0010913","ankalreddy c","ankalreddy",,,,,"k p s samuel","viswanathareddy T","Karwani Islami","Registrar of Societies","Society","90/1983",26/05/1983,"kadapa","http://ngo.india.gov.in/ngo/birdssociety1983.pdf",10160361,"Children","Andhra Pradesh",,"Bethestha Integrated Rural Development Sevice Society is a non government, non political,non- Religious organisation. Hiv/Aids averness programme. child development programme. women skill development programme. poverty alleviation.","Proddatur",9866646163,"tpreddy2010@gmail.com",,"26-915-1, Nagendranagar,Proddatur-516360,Kadapa(Dist) A.P","08564-325870","Children",,,,,
"Andhra Pradesh",2223,"BETHLEHEMCHURCH","AP/2009/0023906","gospelSwarnalatha","joelvijayraj",,,,,"swarnalatha","srinu","Karwani Islami","Registrar of Societies","Society",7679,15/11/2001,"Hyderabad","http://ngo.india.gov.in/ngo/bethlehemchurch.JPG","no","Any Other","Andhra Pradesh","Rangareddy","Medical camps Welfare of poor and needy people Literacy programmes Awareness about Swineflu, Chicken Gunia, AIDS etc.","Hyderabad",,"johndavidsamuel@yahoo.com",,"Bethlehem Church, 7-127 Moosapet Hyderabad - 500018","040-23860089","Any Other",,,,,
"Andhra Pradesh",2223,"BHAGYAM FOUNDATION","AP/2010/0036368","S Sreedevi","Ch Dharma Rao",,,,,"J Simha Chalam","Sravanthi","Karwani Islami","Registrar of Societies","Society","27 of 2010",01/11/2010 00:00,"Hyderabad","http://ngo.india.gov.in/ngo/97d082a6fd6f7f74b2b4b9e1a44f1c20.Foundation"" Registration Certificate.jpg",,"Children, Health & Family Welfare, HIV/AIDS, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh",,"Micro Finance SHG, E-Literacy, Women Development,","Hyderabad",9542702015,"bhagyamfoundation@gmail.com",,"20-677/216, Sri Vivekananda Nagar Main Road, Jagapathi Hills, Borabanda, Hyderabad-18","040-64580582","Children, Health & Family Welfare, HIV/AIDS, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs",,,,,
"Andhra Pradesh",2223,"BHAGYANAGAR OLD CITY WELFARE ORGANISATION","AP/2009/0015836","MOHD BASHEER AHMED","MUMTAZ AHMED KHAN",,,,,"MOHD KALEEM","MOHD JAMEEL","Karwani Islami","Registrar of Societies","Society","2827 of 1991",21/08/1991,"HYDERABAD","http://ngo.india.gov.in/ngo/bnocwo2827.jpg",10230591,"Education & Literacy, Information & Communication Technology, Minority Issues, Science & Technology, Vocational Training, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh","Hyderabad, Medak, Rangareddy","THE ORGANISATION WAS ESTABLISHED IN THE YEAR 1991 WITH A AIM TO PROVIDE QUALITY SKILLED DEVELOPMENT TRAINING AND PROVIDING JOB ORIENTED SKILLED TRAINING IN COMPUTER HARDWARE/SOFTWARE, TYPEWRITING, TAILORING, ZIGZAG, CALLCENTRE & BPO TRAINING TO THE EDUCATED UNEMPLOYED YOUTH OF BOTH SEX IRRESPECTIVE OF CASTE AND CREED. IN THE ABOVE SAID TRADES WITH PLACEMENT FACILITY. ACTIVITES: 1 VOCATIONAL TRAINING IN COMPUTER HARDWARE, SOFTWARE, NETWORKING, CALLCENTRE, BPO. 2 EMEDIAL COACHING FOR CLASS IX,X,INTER I and IIYR. 3 YPEWRITING LOWER and HIGHER GRADE 4 ZIGZAG, TAILORING 5 MOULANA AZAD UPPER PRIMARY SCHOOL UPTO PRIMARY LEVEL, PROPOSED TO CONVERT INTO HIGH SCHOOL. 6 PUBLIC LIBRARY WITH ACADEMIC,COMPETATIVE,TECHICAL EDUCATION, PERIODICALS, DAILY NEWSPAPERS, HISTORY AND LITERATURE AND REFERENCE BOOKS. ACHIEVEMENTS IN THE YEAR 2007 and 08 DEPARTMENT OF YOUTH SERVICES GOVTOFA.P HAD SPONSERED 265 CANDIDATES IN DIFFERENT TRADES OF COMPUTER HARDWARE, SOFTWARE, NETWORKING, CALLCENTRE TRAINING ETC AFTER SUCCESSFULL COMPLETION THE ORGANISATIN HAS PLACED 195 plus CANDIDATES IN DIFFERENT LOCALCOMPANIES AND MNCs. IN THE YEAR 2008 and 09 DEPARTMENT OF YOUTH SERVICES GOVT OF A.P HAD SPONSERED 400 CANDIDATES IN DIFFERENT TRADES OF COMPUTER HARDWARE, SOFTWARE, NETWORKING, CALLCENTRE ETC AFTER SUCCESSFULL COMPLETION THE ORGANISATIN HAS PLACED 280 plus CANDIDATES IN DIFFERENT LOCALCOMPANIES AND MNCs. SINCE 1991 TO TILLDATE THE ORGANISATION HAD BENEFITED ABOUT 7200 plus CANDIDATES BY PROVIDING THEM FREE TRAINING TO GOVT SPONSERED CANDIDATES AND BY CHARGING NOMINAL FEES FOR NONSPONSERED CANDIDATES. APART FROM THIS THE ORGANISATION HAD TAKENUP VARIOUS ACTIVITIES FOR THE UPLIFTMENT OF WEAKER SECTIONS OF THE SOCIETY ESPECIALLY WOMENS BY PROVIDING THEM FREE VOCATIONAL TRAINING AND DIRECT LOANS FROM N.M.D.F.C, NEWDELHI, SCHOLARSHIPS FOR GIRL STUDENTS FROM M.A.E.F NEWDELHI. APART FROM THIIS THE SOCIETY IS RUNNING SENIOR TEACHERS ACADEMY WHEREIN EXPERTS IN DIFFERENT FACULTIES ARE BEING ENGAGED TO GIVE COACHING TO POOR STUDENTS WHO ARE APPEARING FOR VARIOUS BOARD EXAMS. THE ABOVE SAID ACTIVITES ARE RUNNED BY THE ORGANISATION ON NOPROFIT AND NOLOSS BASIS. THE SAID ORGANISATION IS A NONPROFITABLE SERVICE ORGANISATIION WITH AN ESTEEMED OUTSTANDING OF ABOUT 18YRS SERVICES.","HYDERABAD",9440782864,"bnocwo2827@yahoo.com","040-24539060","17-1-375/F/50/1, KHALANDERNAGAR, OPP NEW SANTOSHNAGAR COLONY, HYDERABAD - 500059, A.P INDIA.","040-24537348","Education & Literacy, Information & Communication Technology, Minority Issues, Science & Technology, Vocational Training, Women's Development & Empowerment, Youth Affairs",,,,,"http://bhagyanagar.org"
"Andhra Pradesh",2223,"BHANU SOCIETY","AP/2009/0016824","S PADMA KIRAN","S PADMA KIRAN","M RAMA RAO","Promoter Name 2","M RAMA RAO","G MADHAVI","K DILIP RAJA","G VIDYA SAGAR REDDY","Karwani Islami","Registrar of Societies","Cooperative Society","1320 OF 1985",07/04/1985 00:00,"HYDERABAD","http://ngo.india.gov.in/ngo/BHANUSOCIETY.jpg",10280011,"Women's Development & Empowerment","Andhra Pradesh","Hyderabad","EDUCATE THE PEOPLE THROUGH NON-FORMAL AND ADULT EDUCATION PROGRAMS, CULTURAL ACTIVITIES, EMPOWERMENT OF WOMEN, PLACEMENT OF WOMEN IN FORMAL EMPLOYMENT SECTOR AND CONDUCTED FAMILY WELFARE PROGRAMS","HYDERABAD",9705614846,"kirankeshi@yahoo.com",,"BHANU SOCIETY F.NO. B7, 2nd FLOOR, SRI BHAVANI HOUSE S.R.NAGAR, HYDERABAD, A.P. 500038","040-23703827","Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"BHARAT RURAL ECONOMICAL AND AGRICULTURAL DEVELOPMENT SOCIETY","AP/2009/0023316","S VARA PRASAD","S VARA PRASAD",,,,,"M JAYA PALLAVI","V RANI","Self Indipendent Organization","Registrar of Societies","Society",1724,30/12/1994,"ELURU","http://ngo.india.gov.in/ngo/breadsap.jpg",,"Agriculture, Children, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation","Andhra Pradesh","East Godavari, Krishna, West Godavari","Breads Society launched its programme of self help groups in rural area in West Godavari district. formed 410 SHGs comprising with 10 each for 1 SHG. the thrift and savings of the total SHGs accumalated to lakhs of Rupees and revolving within the SHGs for their economic development and self reliance.","Eluru",9440393999,"breadsap@gmail.com",,"H.No. 27-21-40/1, 2nd Lane, Postal Colony, Eluru, West Godavari District Pincode-534007","08812-224900","Agriculture, Children, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation",,,,,
"Andhra Pradesh",2223,"BHARAT VIKAS EDUCATIONAL AND CULTURAL RURAL DEVELOPMENT SOCIETY","AP/2009/0015410","ABDUL RASHEED","MOHD ABDUL AKRAM",,,,,"ABDUL RASHEED","KAISER RIZWANA","Karwani Islami","Registrar of Societies","Society","83/2004",21/01/2004,"HYDERABAD","http://ngo.india.gov.in/ngo/abdulrasheed.JPG",,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, Nutrition","Andhra Pradesh","Hyderabad","THIS ORGANIZATION IS FORMED FOR THE PROTECTION AND PROPAGATION OF INDIAN SECULAR CULTURAL VALUES AND PROMOTING THE CONCEPT OF SUFISM,WE DID CONDUCTED PUBLIC MEETINGS SYMPOSIUMS/SEMINARS FOR THE BENEFIT AND UPLIFTMENT OF THE SOCIETY AS WELL.","HYDERABAD",9291679341,"bharatvikas57@yahoo.com","040-23341668","25/3.R.T (10-3-772/2A) 1st FLOOR, ANDHRA BANK VIJAYANAGAR COLONY,HYDERABAD-500 057 (A.P).","040-23341668","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, Nutrition",,,,,
